expected_path,exists,size_bytes,modified_time,empty,opens_correctly,contains_real_results,gitignored,publish_to_github,action_needed
README.md,TRUE,3761,2026-07-11 00:25:42.094084,FALSE,TRUE,TRUE,FALSE,TRUE,none
docs/DATA_INVENTORY.csv,TRUE,2682337,2026-07-11 09:37:19.55179,FALSE,TRUE,TRUE,FALSE,TRUE,none
docs/DATA_INVENTORY.md,TRUE,18542,2026-07-11 09:37:21.037502,FALSE,TRUE,TRUE,FALSE,TRUE,none
docs/DATA_FEASIBILITY_REPORT.md,TRUE,24896,2026-07-11 09:37:22.403297,FALSE,TRUE,TRUE,FALSE,TRUE,none
docs/METHODOLOGY.md,TRUE,2014,2026-07-11 00:25:42.103081,FALSE,TRUE,TRUE,FALSE,TRUE,none
docs/EMPIRICAL_STRATEGY.md,TRUE,730,2026-07-11 00:25:42.105078,FALSE,TRUE,TRUE,FALSE,TRUE,none
docs/DATA_DICTIONARY.md,TRUE,1173,2026-07-11 00:25:42.109076,FALSE,TRUE,TRUE,FALSE,TRUE,none
docs/REPRODUCIBILITY.md,TRUE,659,2026-07-11 00:25:42.106079,FALSE,TRUE,FALSE,FALSE,TRUE,none
docs/LIMITATIONS.md,TRUE,668,2026-07-11 00:25:42.108076,FALSE,TRUE,TRUE,FALSE,TRUE,none
docs/PROJECT_LOG.md,TRUE,1797,2026-07-10 19:28:37.313705,FALSE,TRUE,TRUE,FALSE,TRUE,none
paper/main.qmd,TRUE,507,2026-07-11 00:33:51.596369,FALSE,TRUE,TRUE,FALSE,TRUE,none
paper/main.html,TRUE,1928,2026-07-11 00:26:34.18284,FALSE,TRUE,TRUE,FALSE,TRUE,none
paper/main.pdf,FALSE,,,FALSE,FALSE,FALSE,TRUE,FALSE,create or document why unavailable
paper/policy_brief.qmd,TRUE,1462,2026-07-11 00:26:34.179842,FALSE,TRUE,TRUE,FALSE,TRUE,none
paper/policy_brief.html,TRUE,1549,2026-07-11 00:26:34.181841,FALSE,TRUE,TRUE,FALSE,TRUE,none
paper/abstract.md,TRUE,1299,2026-07-11 00:26:34.176844,FALSE,TRUE,TRUE,FALSE,TRUE,none
paper/executive_summary.md,TRUE,1664,2026-07-11 00:26:34.178843,FALSE,TRUE,TRUE,FALSE,TRUE,none
paper/key_findings.md,TRUE,356,2026-07-11 00:33:51.596369,FALSE,TRUE,TRUE,FALSE,TRUE,none
dashboard/app.R,TRUE,3136,2026-07-11 00:36:13.525749,FALSE,TRUE,TRUE,FALSE,TRUE,none
outputs/reports/VALIDATION_REPORT.html,TRUE,738,2026-07-11 00:33:51.596369,FALSE,TRUE,TRUE,FALSE,TRUE,none
outputs/tables/xlsx/bolivia_opportunities.xlsx,TRUE,15639,2026-07-11 00:33:34.784058,FALSE,TRUE,TRUE,FALSE,TRUE,none
outputs/figures/png/bolivia_product_space.png,TRUE,24226,2026-07-11 00:33:50.394003,FALSE,TRUE,TRUE,FALSE,TRUE,none
outputs/figures/png/bolivia_density_pci.png,TRUE,114415,2026-07-11 00:33:41.044359,FALSE,TRUE,TRUE,FALSE,TRUE,none
outputs/figures/png/eci_latin_america_trends.png,TRUE,308372,2026-07-11 00:33:37.94751,FALSE,TRUE,TRUE,FALSE,TRUE,none
outputs/figures/png/complexity_income.png,TRUE,62758,2026-07-11 00:33:39.470922,FALSE,TRUE,TRUE,FALSE,TRUE,none
R/99_run_all.R,TRUE,23900,2026-07-11 09:50:34.168188,FALSE,TRUE,TRUE,FALSE,TRUE,none
