"category","metric","value","status","source_file"
"data_integrity","rows","6497429","PASS","outputs/tables/csv/data_integrity_summary.csv"
"data_integrity","countries","242","PASS","outputs/tables/csv/data_integrity_summary.csv"
"data_integrity","products","1243","PASS","outputs/tables/csv/data_integrity_summary.csv"
"data_integrity","min_year","1995","PASS","outputs/tables/csv/data_integrity_summary.csv"
"data_integrity","max_year","2023","PASS","outputs/tables/csv/data_integrity_summary.csv"
"data_integrity","bolivia_latest_year","2023","PASS","outputs/tables/csv/data_integrity_summary.csv"
"data_integrity","unique_keys","1","PASS","outputs/tables/csv/data_integrity_summary.csv"
"data_integrity","negative_exports","0","PASS","outputs/tables/csv/data_integrity_summary.csv"
"data_integrity","duplicate_keys","0","PASS","outputs/tables/csv/data_integrity_summary.csv"
"data_integrity","missing_rca","0","PASS","outputs/tables/csv/data_integrity_summary.csv"
"data_integrity","invalid_country_codes","0","PASS","outputs/tables/csv/data_integrity_summary.csv"
"data_integrity","invalid_product_codes","2991","WARNING","outputs/tables/csv/data_integrity_summary.csv"
"data_integrity","zero_export_country_year_rows","14","WARNING","outputs/tables/csv/data_integrity_summary.csv"
"product_space","year","2023","PASS","outputs/tables/csv/product_space_network_diagnostics.csv"
"product_space","products","1220","PASS","outputs/tables/csv/product_space_network_diagnostics.csv"
"product_space","countries","235","PASS","outputs/tables/csv/product_space_network_diagnostics.csv"
"product_space","analytical_positive_edges","701978","PASS","outputs/tables/csv/product_space_network_diagnostics.csv"
"product_space","visual_edges","698","PASS","outputs/tables/csv/product_space_network_diagnostics.csv"
"product_space","visual_threshold","0.55","PASS","outputs/tables/csv/product_space_network_diagnostics.csv"
"product_space","phi_min","0","PASS","outputs/tables/csv/product_space_network_diagnostics.csv"
"product_space","phi_max","0.808510638297872","PASS","outputs/tables/csv/product_space_network_diagnostics.csv"
"product_space","diag_max_abs","0","PASS","outputs/tables/csv/product_space_network_diagnostics.csv"
"product_space","symmetry_max_abs_diff","0","PASS","outputs/tables/csv/product_space_network_diagnostics.csv"
"product_space","duplicate_visual_edges","0","PASS","outputs/tables/csv/product_space_network_diagnostics.csv"
"product_space","visual_isolated_products","875","PASS","outputs/tables/csv/product_space_network_diagnostics.csv"
