model,term,estimate,std_error,statistic,p_value,nobs,r2,within_r2
income_level,eci,0.153016216891731,0.0909060010648357,1.68323559610325,0.104301057018858,723,0.954781337376863,0.0367680100587278
income_level,hhi,-0.215841883080065,0.315833711578426,-0.683403560694528,0.500397252545318,723,0.954781337376863,0.0367680100587278
income_level,log1p(diversity),-0.17355302677892,0.109942853901904,-1.5785748743049,0.126524251493961,723,0.954781337376863,0.0367680100587278
income_level,manufacturing_share,-0.00453068680803352,0.169485792181026,-0.0267319564060823,0.978877650986549,723,0.954781337376863,0.0367680100587278
future_growth,eci,3.00950540918467,0.89466760604754,3.3638251668461,0.00239315717819789,588,0.441205049739005,0.146832361879408
future_growth,log_gdppc,-6.63250230083232,2.62469649577091,-2.52695971192062,0.0179270327715561,588,0.441205049739005,0.146832361879408
future_growth,hhi,5.8325728028242,5.55343488891266,1.05026401128225,0.303261326857317,588,0.441205049739005,0.146832361879408
future_growth,log1p(diversity),-0.573797463750435,1.89345041934253,-0.303043300151306,0.764268362985286,588,0.441205049739005,0.146832361879408
growth_volatility,eci,-0.00360784918176116,0.0275263528640533,-0.131068914199406,0.896729712756024,672,0.512755312592258,0.0309557120673153
growth_volatility,hhi,0.114450736253158,0.043387665146968,2.63786345417473,0.0139003355034326,672,0.512755312592258,0.0309557120673153
growth_volatility,log1p(diversity),0.0109637625340383,0.0256859060060026,0.426839626816206,0.673009931449918,672,0.512755312592258,0.0309557120673153
